0.00266, 5
0.03892, 12
0.05238, 18
0.06922, 22
0.08811, 24
0.10843, 24
0.12987, 28
0.11910, 30
0.14167, 30
0.13216, 33
0.15556, 34
0.17956, 35
0.17087, 37
0.19532, 36
0.18716, 40
0.21199, 39
0.20420, 41
0.22937, 40
0.22182, 42
0.21455, 42
0.23996, 43
0.23293, 43
0.25855, 44
0.25168, 45
0.27754, 44
0.27075, 47
0.26404, 45
0.29007, 47
0.28354, 47
0.30967, 46
0.30323, 49
0.29676, 47
0.32307, 49
0.31679, 49
0.34315, 48
0.33694, 50
0.33070, 49
0.35719, 50
0.35112, 51
0.34490, 50
0.37160, 52
0.36555, 51
0.39219, 51
0.38625, 52
0.38022, 51
0.40697, 52
0.40110, 53
0.39509, 51
0.42198, 53
0.41612, 53
0.41016, 52
0.43715, 54
0.43130, 52
0.45819, 53
0.45247, 54
0.44664, 53
0.47363, 54
0.46793, 54
0.46212, 53
0.48919, 55
0.48350, 54
0.47771, 53
0.50485, 56
0.49917, 54
0.49343, 54
0.52060, 56
0.51494, 54
0.50925, 55
0.53645, 56
0.53081, 54
0.52517, 56
0.55240, 55
0.54676, 54
0.54115, 56
0.56840, 55
0.56278, 55
0.55721, 57
0.58448, 55
0.57886, 55
0.60610, 57
0.60062, 56
0.59500, 55
0.62229, 57
0.61680, 56
0.61120, 56
0.63852, 57
0.63302, 56
0.62743, 56
0.65477, 57
0.64926, 56
0.64370, 56
0.67106, 57
0.66554, 56
0.66000, 56
0.68736, 57
0.68185, 55
0.67634, 57
0.70370, 57
0.69819, 56
0.69270, 57
0.72006, 57
0.71457, 55
0.70909, 58
0.73646, 57
0.73097, 56
0.72550, 57
0.75290, 57
0.74740, 56
0.74196, 58
0.76934, 57
0.76384, 56
0.75840, 58
0.78580, 57
0.78030, 56
0.77489, 58
0.80228, 57
0.79677, 56
0.79138, 58
0.81877, 57
0.81325, 56
0.80789, 58
0.83525, 57
0.82975, 56
0.82438, 58
0.85175, 57
0.84625, 56
